Year,reporterCode,Total_Bilateral_Trade,CIFValue,FOBValue,qty,netWgt,grossWgt
2000,84,12829445.0,12829445.0,0.0,1994043.0,2046398.0,0.0
2000,188,364356364.0,313714688.0,50641676.0,87531677.0,106527076.0,0.0
2000,222,217784168.28,215322864.84,2461303.44,64386661.565,67131667.756,0.0
2000,320,188966536.0,176924832.0,12041704.0,110293286.0,112861072.0,0.0
2000,591,89895780.0,83428360.0,6467420.0,31806643.0,47175812.0,0.0
2000,600,1943357244.0,1041319052.0,902038192.0,117067286.828,222148023.843,0.0
2000,659,1424944.0,850700.0,574244.0,103186.0,124782.0,0.0
2000,662,32619746.0,32425982.0,193764.0,4577286.0,4957928.0,0.0
2000,748,17412793.0,16611466.0,801327.0,950380.0,1186731.0,0.0
2001,84,18086253.0,17926254.0,159999.0,3741349.0,6798152.0,0.0
2001,188,456011306.0,400706215.0,55305091.0,110672006.0,136490318.0,0.0
2001,214,230582000.0,229390000.0,1192000.0,2001704.0,2001704.0,0.0
2001,222,444250054.52,440807084.64,3442969.88,105907138.436,105885209.74,0.0
2001,320,186960008.0,185149676.0,1810332.0,54595994.0,58050234.0,0.0
2001,591,111706860.0,98926044.0,12780816.0,41208511.0,55228388.0,0.0
2001,600,1932379636.0,1013144080.0,919235556.0,130788606.296,234849926.0,0.0
2001,659,1598162.0,1598142.0,20.0,202403.0,311816.0,0.0
2001,662,23253215.0,22737848.0,515367.0,2302334.0,2894640.0,0.0
2001,748,321362858.0,7861165.0,313501693.0,11031321359.0,11029525318.0,0.0
2002,84,15895398.0,15895398.0,0.0,3522742.0,7201294.0,0.0
2002,188,618156267.0,484713403.0,133442864.0,96971238.0,130982880.0,0.0
2002,214,2092547059.6030002,1094578602.214,997968457.389,657198638.909,903886257.846,0.0
2002,222,514208151.04,508653945.12,5554205.92,113872274.984,122023693.47,0.0
2002,320,312357680.0,311811768.0,545912.0,82241186.0,83550884.0,0.0
2002,591,171191376.0,163170604.0,8020772.0,59030426.0,81488262.0,0.0
2002,600,1597940040.0,845761192.0,752178848.0,134173611.50999999,230813873.233,0.0
2002,659,3173393.0,3171369.0,2024.0,397878.0,372018.0,0.0
2002,662,30410043.0,30392082.0,17961.0,4399155.0,3893658.0,0.0
2002,748,331801937.0,60819325.0,270982612.0,343472032.0,342479802.0,0.0
2003,84,46856982.0,46856982.0,0.0,5487484.062,11402091.12,0.0
2003,188,990605412.0,636344716.0,354260696.0,148075003.0,196252752.0,0.0
2003,214,1821330209.673,953988773.443,867341436.23,691690217.356,857709818.326,0.0
2003,222,712475090.52,691523438.92,20951651.6,113675612.799,123609644.192,0.0
2003,320,355876308.0,341808948.0,14067360.0,120456309.0,153347778.0,0.0
2003,591,241938692.0,193645364.0,48293328.0,164906335.0,207812618.0,0.0
2003,600,2070154712.0,1067255592.0,1002899120.0,183437465.607,331129916.769,0.0
2003,659,4048175.0,4043115.0,5060.0,555319.0,488300.0,0.0
2003,662,33415181.0,33219828.0,195353.0,7756533.0,6978152.0,0.0
2003,748,87176900.0,87176900.0,0.0,16149515.0,16728960.0,0.0
2004,84,66334740.0,66201952.0,132788.0,11583066.893,18219242.494,0.0
2004,188,1730662676.0,1080024108.0,650638568.0,167070117.0,236663186.0,0.0
2004,214,2294242065.66,1182530358.23,1111711707.43,864126202.766,1149817806.421,0.0
2004,222,914247597.4,899368183.72,14879413.68,150948102.87,155461383.62,0.0
2004,320,675300084.0,597861924.0,77438160.0,351856684.0,370954388.0,0.0
2004,591,331695732.0,288428428.0,43267304.0,158804846.0,205074492.0,0.0
2004,600,3360806796.0,1679761772.0,1681045024.0,234095298.897,459825221.806,0.0
2004,659,4371795.0,4371795.0,0.0,440226.0,456806.0,0.0
2004,662,37723838.0,37655073.0,68765.0,7767171.0,6401444.0,0.0
2004,748,497192303.0,71856723.0,425335580.0,803994377.0,803852248.0,0.0
2005,84,67238934.0,67147138.0,91796.0,9098916.98,16695265.866,0.0
2005,188,2363697268.0,1400888028.0,962809240.0,227826503.0,305158557.0,0.0
2005,214,3646311100.63,1860776016.664,1785535083.966,1258171876.915,1613415682.18,0.0
2005,222,1707124083.16,1695458469.0,11665614.16,235135784.162,267121218.175,0.0
2005,320,3155070204.0,3008364044.0,146706160.0,841719050.0,916404122.0,0.0
2005,591,436913944.0,396114876.0,40799068.0,154028009.0,212964848.0,0.0
2005,600,5232351252.0,2568438400.0,2663912852.0,307858411.719,507417036.767,0.0
2005,659,6704210.0,6704046.0,164.0,1017289.0,1130994.0,0.0
2005,662,41708837.0,41104710.0,604127.0,9360723.0,9989464.0,0.0
2005,748,263834540.0,263652892.0,181648.0,44834982.0,45171148.0,0.0
2006,84,113273045.0,112036607.0,1236438.0,6887424.0,10427477.0,0.0
2006,188,4430300840.0,2202606416.0,2227694424.0,392333365.0,516174632.0,0.0
2006,214,5650808138.436,2796217204.1280003,2854590934.308,1763384060.014,2186541298.229,0.0
2006,222,2472461746.2,2446431253.92,26030492.28,455235254.538,496043806.633,0.0
2006,320,1932585044.0,1812903500.0,119681544.0,760324254.0,846121562.0,0.0
2006,591,8473126816.0,8408932580.0,64194236.0,859734670.0,1237980142.0,0.0
2006,600,10031085764.0,5079635704.0,4951450060.0,269209036.158,456113981.048,0.0
2006,659,7823758.0,7820189.0,3569.0,873367.0,1380360.0,0.0
2006,662,41377694.0,41039973.0,337721.0,7758886.0,9820646.0,0.0
